id	label	rc	log
01	plan_static	0	review/runtime/i2/strict_plan_pipeline_ci/logs/01_plan_static.log
02	analyze_wcrt_strict	0	review/runtime/i2/strict_plan_pipeline_ci/logs/02_analyze_wcrt_strict.log
03	export_os_strict	0	review/runtime/i2/strict_plan_pipeline_ci/logs/03_export_os_strict.log
